Timestamp,Filename,Verdict,Confidence (%)
2026-07-19 19:12:55,calc.exe,BENIGN,74.0
2026-07-19 19:13:56,ff7rebirth.exe,BENIGN,77.0
2026-07-19 19:14:48,uninstall.exe,BENIGN,70.0
